Equipo,Confederacion,Grupo
Argentina,CONMEBOL,D
Australia,AFC,C
Belgium,UEFA,G
Brazil,CONMEBOL,E
Colombia,CONMEBOL,H
Costa Rica,CONCACAF,E
Croatia,UEFA,D
Denmark,UEFA,C
Egypt,CAF,A
England,UEFA,G
France,UEFA,C
Germany,UEFA,F
Iceland,UEFA,D
IR Iran,AFC,B
Japan,AFC,H
Korea Republic,AFC,F
Mexico,CONCACAF,F
Morocco,CAF,B
Nigeria,CAF,D
Panama,CONCACAF,G
Peru,CONMEBOL,C
Poland,UEFA,H
Portugal,UEFA,B
Russia,UEFA,A
Saudi Arabia,AFC,A
Senegal,CAF,H
Serbia,UEFA,E
Spain,UEFA,B
Sweden,UEFA,F
Switzerland,UEFA,E
Tunisia,CAF,G
Uruguay,CONMEBOL,A
