Equipo,Camisola,Posicion,Nombre,Fehca_nacimiento,Altura,Peso,Goles
Argentina,1,GK,Nahuel GUZMAN,1986/02/10,192,90,0
Argentina,2,DF,Gabriel MERCADO,1987/03/18,181,81,1
Argentina,3,DF,Nicolas TAGLIAFICO,1992/08/31,169,65,0
Argentina,4,DF,Cristian ANSALDI,1986/09/20,181,73,0
Argentina,5,MF,Lucas BIGLIA,1986/01/30,175,73,0
Argentina,6,DF,Federico FAZIO,1987/03/17,199,85,0
Argentina,7,MF,Ever BANEGA,1988/06/29,175,73,0
Argentina,8,DF,Marcos ACUNA,1991/10/28,172,77,0
Argentina,9,FW,Gonzalo HIGUAIN,1987/12/10,184,75,0
Argentina,10,FW,Lionel MESSI,1987/06/24,170,72,1
Argentina,11,MF,Angel DI MARIA,1988/02/14,178,75,1
Argentina,12,GK,Franco ARMANI,1986/10/16,189,85,0
Argentina,13,MF,Maximiliano MEZA,1992/12/15,180,76,0
Argentina,14,DF,Javier MASCHERANO,1984/06/08,174,73,0
Argentina,15,MF,Manuel LANZINI,1993/02/15,167,66,0
Argentina,16,DF,Marcos ROJO,1990/03/20,189,82,1
Argentina,17,DF,Nicolas OTAMENDI,1988/02/12,181,81,0
Argentina,18,DF,Eduardo SALVIO,1990/07/13,167,69,0
Argentina,19,FW,Sergio AGUERO,1988/06/02,172,74,2
Argentina,20,MF,Giovani LO CELSO,1996/04/09,177,75,0
Argentina,21,FW,Paulo DYBALA,1993/11/15,177,73,0
Argentina,22,MF,Cristian PAVON,1996/01/21,169,65,0
Argentina,23,GK,Wilfredo CABALLERO,1981/09/28,186,80,0
Australia,1,GK,Mathew RYAN,1992/04/08,184,82,0
Australia,2,DF,Milos DEGENEK,1994/04/28,187,85,0
Australia,3,DF,James MEREDITH,1988/04/05,179,71,0
Australia,4,FW,Tim CAHILL,1979/12/06,180,76,0
Australia,5,DF,Mark MILLIGAN,1985/08/04,178,78,0
Australia,6,DF,Matthew JURMAN,1989/12/08,190,83,0
